"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"47","raperostelium minutum","Raperostelium minutum",FALSE,962359,FALSE,"",1
"48","dictyostelium purpureum","Dictyostelium purpureum",FALSE,999663,FALSE,"",1
"49","dictyota binghamiae","Dictyota binghamiae",FALSE,265121,FALSE,"",1
"50","dicyema typus","Dicyema typus",FALSE,3684365,FALSE,"",1
"51","dicyemennea abelis","Dicyemennea abelis",FALSE,3684379,FALSE,"",1
"52","dicyemennea lameerei","Dicyemennea lameerei",FALSE,3684389,FALSE,"",1
"53","dilsea natashae","Dilsea natashae",FALSE,567703,FALSE,"",1
"54","dinophilus gyrociliatus","Dinophilus gyrociliatus",FALSE,446088,FALSE,"",1
"55","diurodrilus westheidei","Diurodrilus westheidei",FALSE,4978773,FALSE,"",1
"56","ducellieria chodatii","Ducellieria chodatii",FALSE,2810724,FALSE,"",1
"57","schmidtea mediterranea","Schmidtea mediterranea",FALSE,900428,FALSE,"extinct, incertae_sedis",1
"58","durvillaea antarctica","Durvillaea antarctica",FALSE,216694,FALSE,"",1
"59","ectocarpus siliculosus","Ectocarpus siliculosus",FALSE,878345,FALSE,"",1
"60","elachista fucicola","Elachista fucicola",FALSE,263987,FALSE,"",1
"61","enterostomula graffi","Enterostomula graffi",FALSE,3665433,FALSE,"",1
"62","escherichia coli","Escherichia coli",FALSE,474506,FALSE,"sibling_higher",1
"63","eudorina cylindrica","Eudorina cylindrica",FALSE,359012,FALSE,"",1
"64","eudorina elegans","Eudorina elegans",FALSE,485476,FALSE,"",2
"65","eudorina minodii","Eudorina minodii",FALSE,167121,FALSE,"",1
"66","eudorina unicocca","Eudorina unicocca",FALSE,958293,FALSE,"",1
"67","farlowia mollis","Farlowia mollis",FALSE,779028,FALSE,"",1
"68","fischerella","Fischerella (genus in domain Bacteria)",FALSE,534131,FALSE,"sibling_higher",1
"69","fucus vesiculosus","Fucus vesiculosus",FALSE,601255,FALSE,"",1
"70","fuirena ciliaris","Fuirena ciliaris",FALSE,215125,FALSE,"",1
"71","funaria hygrometrica","Funaria hygrometrica",FALSE,765280,FALSE,"",1
"72","gloeophycus koreanus","Gloeophycus koreanus",FALSE,4013684,FALSE,"",1
"73","gonium multicoccum","Gonium multicoccum",FALSE,256145,FALSE,"",1
"74","gonium octonarium","Gonium octonarium",FALSE,958305,FALSE,"",1
"75","gonium pectorale","Gonium pectorale",FALSE,361837,FALSE,"",1
"76","gonium quadratum","Gonium quadratum",FALSE,60470,FALSE,"",1
"77","gonium viridistellatum","Gonium viridistellatum",FALSE,60473,FALSE,"",1
"78","gymnoascus reessii","Gymnoascus reessii",FALSE,246046,FALSE,"",1
"79","haliclystus","Haliclystus",FALSE,570656,FALSE,"",1
"80","halymenia asymmetrica","Halymenia asymmetrica",FALSE,4010960,FALSE,"",1
"81","haplospora globosa","Haplospora globosa",FALSE,649193,FALSE,"",1
"82","helminthostachys zeylanica","Helminthostachys zeylanica",FALSE,178177,FALSE,"",1
"83","heteroglossum carnosum","Heteroglossum carnosum",FALSE,4741377,FALSE,"",1
"84","heteroralfsia saxicola","Heteroralfsia saxicola",FALSE,275897,FALSE,"",1
"85","himantothallus grandifolius","Himantothallus grandifolius",FALSE,181933,FALSE,"",1
"86","hirudo medicinalis","Hirudo medicinalis",FALSE,954042,FALSE,"",1
"87","hummia onusta","Hummia onusta",FALSE,83430,FALSE,"",1
"88","hydra vulgaris","Hydra vulgaris",FALSE,111442,FALSE,"",1
"89","hymenophyllum tunbridgense","Hymenophyllum tunbrigense",FALSE,186999,TRUE,"",1
"90","isthmoplea sphaerophora","Isthmoplea sphaerophora",FALSE,83432,FALSE,"",1
"91","kurogiella saxatilis","Kurogiella saxatilis",FALSE,1099013,FALSE,"",1
"92","laminaria dentigera","Laminaria setchellii",FALSE,645555,TRUE,"",2
"93","leathesia difformis","Leathesia difformis",FALSE,263988,FALSE,"sibling_higher",2
"94","lemna minor","Lemna minor",FALSE,431388,FALSE,"",1
"95","lomandra hermaphrodita","Lomandra hermaphrodita",FALSE,3995126,FALSE,"",1
"96","loxosoma saltans","Loxosoma saltans",FALSE,2844172,FALSE,"",1
"97","lumbricus terrestris","Lumbricus terrestris",FALSE,316441,FALSE,"",1
