species_name	Kingdom	Phylum	Oblig/Fac	Simple/Complex	SterileCells	SterileProp	Types	Number	Sex	Fission	Fragmentation	GermTime	GermTimeSimp	Type/Number	SomaTypes	Soma/Number	GermNumeric	species_rotl	species_simple_underscores
Elachista fucicola	Chromista	Ochrophyta	obligate	complex	yes	NA	5	15848932	1	0	b	3	adult	3.15478670739454e-07	4	2.52382936591563e-07	2	elachista fucicola	elachista_fucicola
Enterostomula graffi	Animalia	Platyhelminthes	obligate	complex	yes	NA	12	354814	1	0	none	3	adult	3.38205369573918e-05	11	3.10021588776091e-05	2	enterostomula graffi	enterostomula_graffi
Eudorina cylindrica	Plantae	Chlorophyta	obligate	simple	yes	NA	2	16	1	0	NA	0	no_germline	0.125	1	0.0625	0	eudorina cylindrica	eudorina_cylindrica
Eudorina elegans	Plantae	Chlorophyta	obligate	simple	yes	12.5	1	32	1	0	NA	0	no_germline	0.03125	0	0	0	eudorina elegans	eudorina_elegans
Eudorina minodii	Plantae	Chlorophyta	obligate	simple	no	0	1	32	1	0	NA	0	no_germline	0.03125	0	0	0	eudorina minodii	eudorina_minodii
Eudorina unicocca	Plantae	Chlorophyta	obligate	simple	no	0	1	32	1	0	NA	0	no_germline	0.03125	0	0	0	eudorina unicocca	eudorina_unicocca
Farlowia mollis	Plantae	Rhodophyta	obligate	complex	yes	NA	7	3162277660	1	1	f	3	adult	2.21359436223573e-09	6	1.89736659620206e-09	2	farlowia mollis	farlowia_mollis
Fucus vesiculosus	Chromista	Ochrophyta	obligate	complex	yes	NA	7	3.16e+12	1	1	NA	3	adult	2.21518987341772e-12	6	1.89873417721519e-12	2	fucus vesiculosus	fucus_vesiculosus
Fuirena ciliaris	Plantae	Tracheophyta	obligate	complex	yes	NA	44	2.5119e+10	1	1	b	3	adult	1.75166208845894e-09	43	1.71185158644851e-09	2	fuirena ciliaris	fuirena_ciliaris
Funaria hygrometrica	Plantae	Bryophyta	obligate	complex	yes	NA	20	251188643	1	1	b	3	adult	7.96214341585499e-08	19	7.56403624506224e-08	2	funaria hygrometrica	funaria_hygrometrica
