"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","IsInTree"
"183","pleodorina indica","Pleodorina indica",FALSE,633717,FALSE,"",1,TRUE
"184","pleodorina japonica","Pleodorina japonica",FALSE,256062,FALSE,"",1,TRUE
"185","volvox aureus","Volvox aureus (species in kingdom Archaeplastida)",FALSE,485470,FALSE,"",2,TRUE
"186","volvox globator","Volvox globator (species in kingdom Archaeplastida)",FALSE,633719,FALSE,"",2,TRUE
"187","volvox rousseletii","Volvox rousseletii",FALSE,381980,FALSE,"",1,TRUE
"188","volvox tertius","Volvox tertius (species in kingdom Archaeplastida)",FALSE,1061937,FALSE,"",2,TRUE
"189","volvulina boldii","Volvulina boldii",FALSE,112016,FALSE,"",1,TRUE
"190","volvulina compacta","Volvulina compacta",FALSE,112017,FALSE,"",1,TRUE
"191","volvulina pringsheimii","Volvulina pringsheimii",FALSE,381983,FALSE,"",1,TRUE
"192","volvulina steinii","Volvulina steinii",FALSE,112015,FALSE,"",1,TRUE
"193","yamagishiella unicocca","Yamagishiella unicocca",FALSE,60477,FALSE,"",1,TRUE
"194","chordodasiopsis antennatus","Chordodasiopsis antennatus",FALSE,2844962,FALSE,"",1,TRUE
"195","yamadaella caenomyce","Yamadaella caenomyce",TRUE,207134,FALSE,"",2,TRUE
"196","zoothamnium alternans","Zoothamnium alternans",FALSE,560703,FALSE,"sibling_higher",1,TRUE
