species_simple_underscores	species_rotl	Fission	GermTimeSimp	Number	Types	TypesControlledForNumber
volvox_dissipatrix	volvox dissipatrix	0	adult	16384	2	0.20609929155556622
volvox_gigas	volvox gigas	0	adult	4096	2	0.24044917348149392
volvox_globator	volvox globator	0	adult	16384	2	0.20609929155556622
volvox_obversus	volvox obversus	0	early	2048	2	0.2623081892525388
volvox_rousseletii	volvox rousseletii	0	adult	32768	2	0.19235933878519512
volvox_tertius	volvox tertius	0	adult	1024	2	0.28853900817779266
volvulina_boldii	volvulina boldii	0	no_germline	16	1	0.36067376022224085
volvulina_compacta	volvulina compacta	0	no_germline	16	1	0.36067376022224085
volvulina_pringsheimii	volvulina pringsheimii	0	no_germline	16	1	0.36067376022224085
volvulina_steinii	volvulina steinii	0	no_germline	16	1	0.36067376022224085
wolffia_arrhiza	wolffia arrhiza	1	adult	10000	5	0.5428681023790647
wolffia_microscopica	wolffia microscopica	1	adult	70795	7	0.6268164437768007
yamadaella caenomyce	yamadaella caenomyce	0	adult	3981071706	7	0.3166730597194477
yamagishiella_unicocca	yamagishiella unicocca	0	no_germline	32	1	0.28853900817779266
zeacarpa_leiomorpha	zeacarpa leiomorpha	0	adult	7943282347	8	0.35094503588188625
zoothamnium_alternans	zoothamnium alternans	0	adult	142	4	0.807130667294935
